Review
Enak bangeet teksturnya krenyes
akhirnya sampe, coklat lebih dari satu hari dari jadwal pengirimannya. belum dicoba, lagi masuk kulkas dulu, semoga tidak mengecewakan, thank u seller
super crunchy kataifi nya, dan ga terlalu manis! Best
Enak banget plis kirim gratis
Coklatnya enak, pistachio nya juga… intinya enak semuanya nga nyesel mau beli lagi, sering promo lebih dari % yak 
Rasanya lumayan. Disclaimer dilidah ku tidak cocok, tapi dilidah adik ku cocok.
Enak dan pengiriman cepat
bagus barangnya, pengiriman cepat, respon cepat, harga murah, bakalan langganan disini
"terima kasih kepada penjual untuk layanannya. 
semoga bermanfaat. 
anak-anak saya suka."
kelihatannya enak, belom dicoba
tidak berasa pistachio nya
jujurly  varian ini rasanya so so aja (versiku), yang paling menonjol adalah rasa manisnya. maniss bangettt
enak.. pengiriman aman.
Enak banget. Tp pistachionya ditambah lg boleh kali yaa 
Paket sudah sampai choconya enak kirain besar ternyata kecil,  packing aman pake bubble wrap jadi aman, cuma kurirnya kurang sopan udah tau di rumah ada orang tapi pak...
brg cepat smpai
blm di coba tapi dari tampilan kemasan seperti nya enak.terima kasih
koq agak beda ya dessert durian nya yg ini...padahal dari dlu uda bbrpa kali nyoba lebih lembut brownies dan yg ini kbnyakan brownis di banding cream chocolate nya uda gt...
nikmat mana lagikah yang kau dustakan (sambil ngemut coklat lubernya bitter sweet ) best lah
enak bngtt snacktoknyaa mana aku belinya saturb dapeet dua lagiii sneng bngttt
Nyampe dengan superrr Aaaaaamann banget sampek susah bukanya wkwk, pengiriman termasuk cepet, senengg bgt dehh pokoknya begitu nyampek, enaaaaaak Polll
Enak banget
Enak
sumpah nikmat bgt ga cukup satu aaaa
pengiriman cepat, kurir ramah. thx pak kurir. thx seller. ternyata kecit ya haha
barang sampai on time untuk hadiah teman dan senang.
untuk yang brocol nya sama sekali ga cocok di lidah ku,,kalo untuk topping nya enak udah pasti tapi untuk kue nya engga deh,,,udah gitu kemasannya ribet banget ga jelas i...
pesanan lengkap,, tapi karena buru buru tadi malah lupa ngasih tip Abang nya,,maaf ya bang
Enakkkk banget sumpah, gak perlu masuk kulkas
pesanan cepat diantar besoknya langsung dikirim
kemasan aman. kurir ramah sesuai ekspektasi.
kereeeennnnnn
selalu jadi cemilan favorit sih
Ini dapet di harga  dapet  cup hehe.. rasanya lumayan enak sih untuk dicemil sedikit, tapi kalo langsung makan banyak di aku kerasa manis bgt. Jdi kalo aku lebih su...
ok enak
Red velvet not bad, saya rate ./satu. Menurut saya, lebih memuaskan yang cokelat Belgium ya.
"Enak banget cokelatnya, lembut banget dan moist. Terfavorit!

Overall, pelayanan sangat bagus, dengan metode pengiriman (same day  jam), dan next day sudah sampe dalam k..."
bagus barangnya, pengiriman cepat, respon cepat, harga murah, bakalan langganan disini
minta titip sama abng ipar, sampai banda aceh dgn selamat
bagus barangnya, pengiriman cepat, respon cepat, harga murah, bakalan langganan disini
enak banget udh repusrchase berkali
rasanya mantap
enak bangettttttt udah lama ngga beli ini pengiriman cepat juga ya
Maacihhh ka Najlaa sukaa bgt tp ga lgsg mo kuhabisin smuaaa. Rasanya sih udh ga diraguin lg heheh telat beli edisi kmrdekaan nya cmn gapapaa hehehe
Rasanya konsisten enak, selalu repeat order, ga pernah ngecewain, thankyou dah bikin makanan enak yaaa
Pengiriman super duper aman, tepat waktu dan pasti enak poll
Enaa tidak terlalu manis. Pengiriman juga cepat
Kurang suka karna terlalu manis. Pengiriman cepat
rasanya enak, yummy... cemal cemil gak kerasa bisa abis satu sendirian. Coklatnya cukup banyak dan cookiesnya renyah banget...pokoknya enak
pengemasannya aman jadi sampai tujuan tidak ada yang pecah belum dicoba brocolnya, semoga enak seperti yang snack tok
crunchy dan pas dimakan sehabis makan yg pedas ,
"enak 
anak sy suka"
barang datang dengan baik dan merasa lezat.
enak banget apa lagi dapat harga ter dbessttt banget diskon nya terimakasih kaaakk.. langsung di eksekusi
barang sesuai pesanan
enak polll coklat banyak cookies nya rental,iih super duperr enak bakal beli lgi pasti
selalu dinanti dam never failed
MANTUL
packing aman, bubble wrap tebal. paket kondisi jg Aman, harusnya sih rasa enak, sdh biasa konsumsi produknya. thanks promonya
superrr enakkk dapet pas promo guncang . cuma rb
dapet harga promo . thankyouu bittersweet!!
sesuai pesanan, packing rapih dan aman, rasanya enak, anak anak suka
"Dapet  dengan harga k, blm survei harga offline nya berapa di toko. 
Jadi blm ada perbandingan, biskuit dalam nya renyah kaya Good Time.
Coklat nya sih enak, dapat sar..."
Pengemasan cepat rapi aman. Produk diterima dalam keadaan baik, rasa yg tak diragukan, enak semua, tapi bagiku snacktok agak keasinan. Trims Seller, Kurir, TkPedia sukses...
enak
rasanya enak, cookies garing renyah.. coklatnya ga lumer.. ga kyk digambarnya, untuk yg choco milky jg kuarang banyak coklatnya..
enak bangetttttt parah emang bitter sweet by najla g ada tandingannya best deh bakal sering beli 
puas bangett ga nyeselllllll ada promo rekomendasi dehh untuk beli bittersweet
enaakkkk, yg cheese nya guuriih, cocok
kualitas baik. rasa enak. pengemasan baik
"Penasaran rasa cheese. Sebenernya rumah deket bgt cabang bangbarung. Tapi demi harga promo, pesanlah dr tokopedia.

Edited: yang rasa cheese NOT RECOMMEND. asin banget ka..."
Enak nih....
Rasanya enak, packing rapih dan aman, pengiriman cepat dan harga promo, thanks tokopedia
Super enak, rasanya selalu konsisten. tekstur nya lembut dan banyak varian rasa
Jajan viral nih mantap, beli via tokped festival belanja lokal, fast response and fresh MANTAAAP
mantaaappp
isi nya banyak, kemasannya bagus, teksturnya lembut, rasanya enak banget
Enak banget, packing-nya juga sangat aman
alhamdulillah dapet harga murah bangeet. Terima kasih tokopedia.
Delicious and yummy, recommended 
puas enak seger luar biasa
enak banget
Enak dan gurih
enak banyak promi
enak banget
rasanya masih enak tapi crumble nya jadi lebih sedikit dibandingkan pembelian sebelumnya
enak rasanya, manis, puas di makan, di fotonya udah habis
"Sukaaaaaaaaa udah abis, lupa foto

Sukaaaaaaaaa udah abis, lupa foto"
seller good, kue nya enaaakkk..pengiriman cepat, pokoknya JUARA
Kangenn bgt Bittersweet, udah lamaa ga pernah beli, TERNYATA RASANYA TETEP ENAKKK GA BERUBAH CHOCO CHEESE INI  Rasa terbaik Bittersweet memang ada di Dessert Boxn...
terimakasih seller barang sudah diterima, packing aman
rasanya super enak sesuai ekspektasi good seller good kurir top markotop
rasanya super enak sesuai ekspektasi good seller good kurir toplah
rasanya enak banget sesuai ekspektasi good seller good kurir top markotop
brownisnya  keras, terlalu manis dan bikin enek
sayangnya punya saya dikirim H+satu, padahal mau buat surprise ulang tahun. Order jg msh dibawah jam  siang 
Sedikit diatas yang versi nutella, better tapi ga terlalu signifikan. Dua bintang buat rasa satu buat packaging + deliverynya. Improve lagi rasanya
Karena ini makanan, ekspektasi w terlalu ketinggian buat rasanya, kaya ga layak harga segini dapet kualitas segini. Beli nama dan bukan rasa, literally cuman nutela diata...
Enak, packaging aman, thanks seller recommended 
enak semuanya
Enak 
Pengiriman cepat, rasa mantap.
Kelihatannya ini enak.....tapi belum dicoba.....semoga benar enak yah......dan udah dicoba memang enak....juga tidak terlalu manis
Rasanya enak
rasa enak, seperti cookies yg disiram coklat
packing barang sangat tebal, tapi pas dibuka ada yang bocor dan ada juga yang pecah
mantab
untuk hadiah sebenarnya,, tp katanya enak.. suka rasanya.. tp kejunya kurang
So moist and fluffy. Toppingnya ga pelit full isi kotaknya
Yummy.. dapat harga FS.. mantap. kurir jg oke, kuenya dalam kedaaan baik sampai di customer.
respon cpt bgt lgsung dikirim dan cpt sampai. bubble wrap tebel bgt sampai susah dibuka. toples aman ga pecsh. cookie oke...wajar ada bbrapa yg remuk. ini enak sih yg kej...
pengirimancepat, produk mantab, recomded seller
pengirimannya cepet bngt, barang aman dan sesuai sama pesanan
enak bangetttttttttttttt
josss...muantapzzz
Kue yang dikirim sesuai dengan yang dipesan. Teksturnya lembut dan rasanya enak. Tiramisunya berasa.
Enak dan pengiriman sangat cepat
"bittersweet g udh Di raguin lagi sekali checkout pasti ketagihan 
plisss tokped banyakin promo yaa"
Rasanya kurang otentik
oke
Sudah sampai Terimakasih.
Packaging nya aman di kasi bubble wrap per bungkus nya. yg ud gua coba baru yg pedes jeruk… enak wangi medok, tapi ya kalo makan kebanyakan bisa bikin batuk ini.
Rasa nya enak banget sesuai pesanan
produk dalam keadaan hancur dalam pengiriman, tidak ada tulisan atas bawah nya sehingga kurir membawa nya asal
mantab enak banget sesuai pesanan trims
enak. manisnya pas.
Oke you can come and get them tow please and I have a key for your house w
Mantap
The best :)
Penasaran sama tiramisu, pas banget flash sale, tapi asa nya gak terlalu ya.., red velvet nya masih juara. Btw packing nya kenapa cuma plastik kresek bening??
mantap, enak
rasa selalu enak. packing aman. pengiriman cepat dan hemat, krn toko ini sdh PLUS. sudah berkali-kali beli disini. thanks
Enak, rasa memang, tekstur tdk bikin seret, packing aman, pengiriman cepat, terima kasih
beneran enak lho..
enak, anak saya suka, terimakasih
Enak, termasuk favorit.
langsung segera habis
pengiriman super cepat pake gosend instant... packing cukup aman... barang diterima dengan baik sesuai deskripsi... Tiramizu dessertnya belum dicoba... semoga sama enakny...
pengiriman super cepat pake gosend instant... packing standar... barang diterima dengan baik sesuai deskripsi... rasa kuenya memang tobzz markotobzz tidak kalah oleh harv...
tidak ada merknya di kemasan dan petunjuk rasanya di tutup gelasnya jadinya gak jelas ini produk yg saya pesan atau bukan tapi dalam sih masi tersegel
Always enak. Sudah repeat order.
koko crunch nuttela dan choco milky nya muantuls sekali. recomended bangettt.
Browbox Snacktok (Nutella) dan Hampers sudah diterima dengan baik. Terima kasih.
cemilan terenak.. bikin nagih.. benar² puas dah makannya.. gak nyesel dah belinya
"ini dessert box rasanya gak perlu di ragukan lagi, mau beli yg mana aja bahanya pasti berkualitas. 
Sempet terkendala di bagian pengiriman tapi overall bagus"
enakkkkk semuaaaa...
Produk sesuai diskripsi, thanks
lumayan
yg coklat cadburry juara 
Best red velvet dessert box!
"ada yg bocor yg kecil kotak

pengiriman lamaaa semingguan"
rasanya b aja
Sip. Recommended Seller
tidak sesuai ekspektasi
rasanya enak dan lezat yang terbaik untuk yg mencari kenikmatan
Enaknya pake banget” dech
pesan tanggal  april, barang baru sampai di satu April kalo barang biasa mah gapapa, ini makanan yg butuh suhu dingin udah jelas barang sampai langsung gabisa dimakan
enak rasanya dan sesuai deskripsi pesanan saya
seller responsif. buat dikasi orang, jd ngga tau rasanya, semoga cocok sm yg nerima. packaging aman. hampers cantik
sudah repeat order... selalu enak manisnya pas. proses pengiriman cepat, packing aman. thanks Bittersweet by Najla :)
So creamy and the cake is soo fluffy
allhamdulilah dah sampeiiii walaupun mesen nya lama bngt hampir sebulan anbtapi gapapa enakk kok
sesuai ekpetasi enak banget coklatnya yg berasa, dan cokiesnya yg cruncy
pengiriman cepat
packing dan barang nya sih okeee tp ekspedisi ID Express nya ga bangeeeettttttt masak udah smpe kota tujuan dikirim nya baru hari kemudiaan, overall aman untuk makanan n...
pengiriman super cepatt dan aman. bagi saya yang kurang suka makanan manis, rasanya juga enak, sesuai dengan harganya, terima kasih
enak bikin nagih
